"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "Ruby", "C++", "Swift", "Objective-C++", "XML", "Objective-C", "Environment Variables", "comment", "blank", "total"
"/Users/zq/coding/ReactNative/NuitComic/components/home/ComicCover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/zq/coding/ReactNative/NuitComic/components/home/ComicList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/zq/coding/ReactNative/NuitComic/components/home/ComicRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/Users/zq/coding/ReactNative/NuitComic/components/icon/IconSymbol.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/zq/coding/ReactNative/NuitComic/components/icon/IconSymbol.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 5, 58
"/Users/zq/coding/ReactNative/NuitComic/components/tab/TabBarBackground.ios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/zq/coding/ReactNative/NuitComic/components/tab/TabBarBackground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/zq/coding/ReactNative/NuitComic/hooks/useComicByPage.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/zq/coding/ReactNative/NuitComic/hooks/useScrollOffset.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/zq/coding/ReactNative/NuitComic/hooks/useThemeColor.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/zq/coding/ReactNative/NuitComic/ios/.xcode.env", "Environment Variables", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 2, 12
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
